Duration,22 m 5 s
Start Time,Tue Dec 22 15:36:50 IST 2015
End Time,Tue Dec 22 15:59:00 IST 2015
Total Users,10
Total Hits,22200
Total Throughput,852285.55 Kb
Average Hits,16.75 hits/s
Average Throughput/s,643.23 kb/s
Testcases passed,100
Testcases failed,0
Testcases error rate,0
Step passed,2000
Step failed,0
Step error rate,0


Testcase name,User Count,User Percentage,Step name,Request name,Duration detail,Response Code,Success Count,Failure Count,Failure Rate(%),Total Step,Total Request,Average Duration (sec),Standard Deviation Duration (sec),Minimum Duration (sec),Duration 85 Percentile (sec),Duration 90 Percentile (sec),Duration 95 Percentile (sec),Maximum Duration (sec),Average Size (Kb),Standard Deviation Size (Kb),Minimum Size (Kb),Size 85 Percentile (Kb),Size 90 Percentile (Kb),Size 95 Percentile (Kb),Maximum Size (Kb)
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/23/small/ror_bag.jpeg?1450727465,,,100,0,0,,100,0.29,0.04,0.26,0.28,0.29,0.3,0.65,4.94,0,4.94,4.94,4.94,4.94,4.94
"",,,,,Sending,,100,0,0,,0,0,0.01,0,0,0,0.01,0.07,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.04,0.25,0.28,0.28,0.28,0.65,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.01,0.01,0,0.01,0.01,0.01,0.14,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/bootstrap/glyphicons-halflings-regular-fe185d11a49676890d47bb783312a0cda5a44c4039214094e7957b4c040ef11c.woff2,,,100,0,0,,100,0.88,0.16,0.78,0.87,1.03,1.5,1.5,17.61,0,17.61,17.61,17.61,17.61,17.61
"",,,,,Sending,,100,0,0,,0,0.28,0.02,0.26,0.27,0.3,0.31,0.37,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.29,0.05,0.26,0.29,0.29,0.32,0.55,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.32,0.14,0.01,0.32,0.36,0.79,0.94,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/cart_link,,,100,0,0,,100,0.34,0.14,0.27,0.52,0.83,0.87,1.01,0.14,0,0.14,0.14,0.14,0.14,0.14
"",,,,,Sending,,100,0,0,,0,0,0.01,0,0,0,0,0.06,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.32,0.1,0.27,0.39,0.44,0.52,1.01,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.03,0.08,0,0.05,0.14,0.44,0.49,0,0,0,0,0,0,0
